datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.455,0.02154398563734291,0.21428571428571427,0.011342155009451797,0.48231651274888726
satflow,svm,0.425,0.0,0.0,0.0,0.45116772823779194
satflow,dt,0.501,0.1073345259391771,1.0,0.05671077504725898,0.5283553875236295
satflow,rf,0.471,0.0,0.0,0.0,0.5
satflow,xgboost,0.55,0.2598684210526316,1.0,0.14933837429111532,0.5746691871455577
satflow,lightgbm,0.591,0.3697996918335902,1.0,0.22684310018903592,0.6134215500945179
satflow,catboost,0.527,0.19145299145299147,1.0,0.10586011342155009,0.552930056710775
satflow,deepforest,0.476,0.018726591760299623,1.0,0.00945179584120983,0.504725897920605
satflow,knn,0.655,0.5161290322580645,1.0,0.34782608695652173,0.6739130434782609
satflow,mlp_torch,0.473,0.007532956685499058,1.0,0.003780718336483932,0.501890359168242
satflow,soft_ensemble,0.472,0.022222222222222223,0.5454545454545454,0.011342155009451797,0.500363221878399
